STATEFP,COUNTYFP,STATE,COUNTY,POP,R,D,TOTAL
1,119,Alabama,Sumter County,12225,1598,4648,6291
1,121,Alabama,Talladega County,79985,22235,13138,35663
1,123,Alabama,Tallapoosa County,40133,14963,5859,20991
1,125,Alabama,Tuscaloosa County,210758,51117,37765,90172
1,127,Alabama,Walker County,63143,26002,4834,31170
1,129,Alabama,Washington County,15976,6564,2258,8876
1,131,Alabama,Wilcox County,10206,1833,4048,5903
1,133,Alabama,Winston County,23508,10195,974,11284
2,13,Alaska,Aleutians East Borough,3401,292,198,518
2,16,Alaska,Aleutians West Census Area,5680,561,662,1269
2,20,Alaska,Anchorage Municipality,287095,68117,70803,144916
2,50,Alaska,Bethel Census Area,18437,1689,3123,5176
2,60,Alaska,Bristol Bay Borough,788,268,203,483
2,63,Alaska,Chugach Census Area,6427,2049,1421,3663
2,66,Alaska,Copper River Census Area,2919,1133,547,1766
2,68,Alaska,Denali Borough,2081,749,528,1341
2,70,Alaska,Dillingham Census Area,4833,798,897,1788
2,90,Alaska,Fairbanks North Star Borough,95651,24824,18345,45580
2,100,Alaska,Haines Borough,2614,614,1036,1712
2,105,Alaska,Hoonah-Angoon Census Area,2141,487,858,1402
2,110,Alaska,Juneau City and Borough,31849,6649,11339,18772
2,122,Alaska,Kenai Peninsula Borough,59414,21869,10956,34064
2,130,Alaska,Ketchikan Gateway Borough,13747,4107,2877,7318
2,150,Alaska,Kodiak Island Borough,12992,3378,2358,6032
2,158,Alaska,Kusilvak Census Area,8328,543,1144,1848
2,164,Alaska,Lake and Peninsula Borough,1493,260,342,643
2,170,Alaska,Matanuska-Susitna Borough,110213,38792,13140,54142
2,180,Alaska,Nome Census Area,9909,1286,2132,3668
2,185,Alaska,North Slope Borough,9294,1128,1098,2388
2,188,Alaska,Northwest Arctic Borough,7644,798,1084,2028
2,195,Alaska,Petersburg Borough,3296,1006,916,1996
2,198,Alaska,Prince of Wales-Hyder Census Area,6147,1480,1467,3059
2,220,Alaska,Sitka City and Borough,8405,2166,2575,4923
2,230,Alaska,Skagway Municipality,1179,203,571,814
2,240,Alaska,Southeast Fairbanks Census Area,6957,2760,772,3673
2,261,Alaska,Valdez-Cordova Census Area,9346,3182,1968,5429
2,275,Alaska,Wrangell City and Borough,2510,772,468,1295
2,282,Alaska,Yakutat City and Borough,637,133,160,317
2,290,Alaska,Yukon-Koyukuk Census Area,5077,980,1388,2499
4,1,Arizona,Apache County,71875,11442,23293,35183
4,3,Arizona,Cochise County,127450,35557,23732,60473
4,5,Arizona,Coconino County,142481,27052,44698,73346
4,7,Arizona,Gila County,54303,18377,8943,27678
4,9,Arizona,Graham County,39211,10749,4034,14996
4,11,Arizona,Greenlee County,9341,2433,1182,3688
4,12,Arizona,La Paz County,21480,5129,2236,7460
4,13,Arizona,Maricopa County,4579081,995665,1040774,2069475
4,15,Arizona,Mohave County,217206,78535,24831,104705
4,17,Arizona,Navajo County,112112,27657,23383,51783
4,19,Arizona,Pima County,1061175,207758,304981,520735
4,21,Arizona,Pinal County,480828,107077,75106,185037
4,23,Arizona,Santa Cruz County,46808,6194,13138,19561
4,25,Arizona,Yavapai County,240226,91527,49602,143280
4,27,Arizona,Yuma County,217824,36534,32210,69926
5,1,Arkansas,Arkansas County,17383,4304,1818,6292
5,3,Arkansas,Ashley County,19339,5548,2125,7926
5,5,Arkansas,Baxter County,42242,15836,4635,21007
5,7,Arkansas,Benton County,288774,73965,42249,119912
5,9,Arkansas,Boone County,37625,13652,3064,17114
5,11,Arkansas,Bradley County,10639,2335,1214,3654
5,13,Arkansas,Calhoun County,5113,1636,479,2182
5,15,Arkansas,Carroll County,28276,7424,4023,11797
5,17,Arkansas,Chicot County,9924,1752,2260,4103
5,19,Arkansas,Clark County,22103,4616,3438,8395
5,21,Arkansas,Clay County,14375,4086,962,5183
5,23,Arkansas,Cleburne County,24935,10328,1988,12680
5,25,Arkansas,Cleveland County,7957,2867,651,3600
5,27,Arkansas,Columbia County,23331,5500,2814,8616
5,29,Arkansas,Conway County,21037,5694,2615,8685
5,31,Arkansas,Craighead County,112245,25558,11921,38511
5,33,Arkansas,Crawford County,63409,18607,4959,24091
5,35,Arkansas,Crittenden County,47616,7333,8514,16367
5,37,Arkansas,Cross County,16142,4946,1772,6942
5,39,Arkansas,Dallas County,6802,1573,963,2649
5,41,Arkansas,Desha County,11110,1921,2016,4164
5,43,Arkansas,Drew County,17977,4349,2426,6908
5,45,Arkansas,Faulkner County,126919,34421,18347,54428
5,47,Arkansas,Franklin County,17897,5677,1300,7129
5,49,Arkansas,Fulton County,12381,3961,1035,5119
5,51,Arkansas,Garland County,99789,29069,14045,44199
5,53,Arkansas,Grant County,18449,6794,1268,8200
5,55,Arkansas,Greene County,45597,12670,3058,16100
5,57,Arkansas,Hempstead County,21253,4470,2138,6848
5,59,Arkansas,Hot Spring County,33787,9202,3082,12557
5,61,Arkansas,Howard County,13109,3367,1340,4834
5,63,Arkansas,Independence County,37757,11250,2806,14512
5,65,Arkansas,Izard County,13613,4631,1021,5810
5,67,Arkansas,Jackson County,16636,3593,1365,5091
5,69,Arkansas,Jefferson County,65377,9521,14981,25158
5,71,Arkansas,Johnson County,26513,6938,2283,9498
5,73,Arkansas,Lafayette County,6596,1757,839,2679
5,75,Arkansas,Lawrence County,16410,4569,1080,5857
